地区,2010,2011,2012,2013,2014,2015,2016,2017,2018
北京,6.27,6.35,6.55,6.84,6.84,8.13,8.21,8.35,8.53
天津,1.92,2.17,2.23,2.32,2.53,2.84,3.34,4.43,4.65
河北,6.9,7.11,7.35,7.6,7.94,8.13,8.54,8.83,9.14
山西,3.11,3.25,3.57,3.63,4.04,4.2,4.3,6.4,4.82
内蒙古,3.81,4.11,4.67,4.93,5.74,6.31,6.56,6.72,6.72
辽宁,9.28,9.6,11.83,12.05,12.2,12.42,11.66,12.3,12.23
吉林省,3.79,3.87,3.88,3.84,4.53,4.73,4.66,4.81,6.93
黑龙江,6.96,7.22,7.38,7.51,7.63,7.65,7.7,6.97,7.07
上海,12.01,12.23,12.42,12.43,12.57,12.73,12.88,13.63,13.94
江苏,22.76,23.75,24.7,25.63,26.55,27.41,28.19,28.6,29.38
浙江,7.95,10.52,12.27,12.79,13.26,13.8,15.43,15.92,16.74
安徽,7.15,7.6,7.96,8.39,8.95,9.38,9.86,10.24,10.75
福建,4.79,5.08,5.45,5.76,6.04,6.45,6.72,6.98,7.21
江西,4.23,4.51,4.69,4.92,5.08,5.41,5.68,6.37,6.97
山东,15.62,16.56,17.63,19.36,20.52,21.35,22.58,23.57,24.34
河南,6.68,6.96,7.7,8.08,8.57,9,9.54,10.12,10.71
湖北,5.79,6.21,6.88,7.16,7.55,8.03,8.22,8.67,9.31
湖南,4.6,4.96,5.18,5.35,5.73,5.94,6.15,6.77,7.24
广东,42.04,41.06,40.17,41.2,42.19,43.84,45.27,45.58,48.54
广西,6.02,6.45,6.7,6.99,7.24,8.24,8.45,8.88,9.21
海南,4.9,4.98,5.07,1.44,1.47,1.49,1.53,1.53,1.74
重庆,3.77,4.39,4.72,4.81,5.25,5.59,5.98,6.16,6.48
四川,7.23,7.74,8.32,8.89,8.21,8.71,10.06,10.75,11.35
贵州,2.87,3.05,3.29,3.4,3.57,3.67,4.08,4.74,5.16
云南,2.81,3.19,3.53,3.49,3.73,3.94,4.31,4.52,4.64
西藏,0.21,0.29,0.34,0.36,0.42,0.53,0.62,0.52,0.6
陕西,2.61,2.82,3.1,3.39,3.64,5.61,5.87,6.92,7.13
甘肃,1.53,1.63,1.85,2.12,2.23,2.36,2.63,2.69,2.72
青海,0.34,0.39,0.4,0.48,0.53,0.57,0.62,0.64,0.67
宁夏,1.74,1.84,1.98,2.19,2.32,2.41,2.51,2.64,2.51
新疆,3.77,4.41,4.95,5.36,5.7,6.08,6.48,6.89,7.29
