地区,2010,2011,2012,2013,2014,2015,2016,2017,2018
北京,71.97,72.96,92.48,98.95,113.69,144.49,162.24,164.17,191.6
天津,16.95,16.97,25.62,28.19,30.1,30.66,34.17,42.29,50.1
河北,10.67,19.35,21.45,24.4,25.74,31.42,36.64,48.51,51.12
山西,14.14,17.63,21.35,23.31,17.76,24.74,26.11,31.63,38.07
内蒙古,6.95,12.77,11.3,10.47,11.09,13.32,15.22,18.12,20.69
辽宁,6.62,7.66,8.57,9.77,12.68,17.04,20.41,30.81,32.09
吉林,4.35,5.18,6.97,8.58,11.54,11.14,13.03,14.82,17.45
黑龙江,7.25,8.51,8.82,11.11,11.66,11.32,12.15,14.14,15.86
上海,45,54.33,63.11,69.09,69.61,73.48,77.03,80.81,89.29
江苏,47.23,59.15,69.18,76.59,84.21,96.98,96.25,108.75,123.87
浙江,11.89,14.87,19.13,23.01,32.81,31.93,38.64,48.4,62.56
安徽,11.22,13.88,17.13,19.91,21.97,23.46,28.54,31.12,34.25
福建,5.11,6.63,9.53,11.24,13.23,14.88,15.96,19.72,24.24
江西,1.13,2.7,4.19,5.61,6.91,7.36,9.06,11.82,14.57
山东,32.69,43.8,51.83,61.08,62.75,63.39,67.52,81.63,98.13
河南,15.89,19.47,24.13,28.86,30.52,33.28,36.61,45.49,54.38
湖北,15.28,20.45,24.08,28.53,30.94,33.04,37.71,42.4,48.29
湖南,11.18,13.91,16.13,19.97,21.72,21.55,22.56,23.63,25.93
广东,17.03,118.33,117.45,123.17,129.13,123.29,166.26,124.74,133.02
广西,1.03,1.36,1.69,2.22,2.85,3.88,4.87,6.97,7.36
海南,1.43,1.64,1.77,2.53,2.76,2.9,2.36,2.46,2.98
重庆,25.4,26.88,32.5,32.43,32.15,34.94,38.45,46.65,49.25
四川,52.57,56.46,56.83,59.02,61,62.8,68.87,71.9,84.72
贵州,0.35,0.55,0.99,1.61,2.9,3.29,3.98,7.09,8.29
云南,0.01,0.02,0.12,0.23,0.44,0.73,1.68,2.87,3.76
西藏,,,,12.75,0,0.13,0.13,0.28,0.32
陕西,16.47,18.25,22.12,23.87,28.58,31.13,34.28,38.56,47.35
甘肃,7.29,8.81,11.21,13.4,15.92,16.19,16.86,20.37,23.51
青海,6.16,6.57,11.19,11.9,12.98,13.3,13.67,14.65,15.73
宁夏,10.85,12.26,17.91,21.09,21.87,19.93,21.5,18.25,22.27
新疆,13.47,17.44,26.27,38.09,44.83,44.78,48.93,50.7,52.9
